Func / Command	TYPE	HOT LOGO				MSX LOGO		BASIC EQUIVALENT	OBS
		Full Command	Abbrev	Arguments	Return	Full Command	Abrev		
FUNCTION	BOOLEAN	algum		PRED1 PRED2	PRED				
COMMAND	GRAPHIC	apaguedesenho	ad			cg		SCREEN 2	
COMMAND	TEXT	apaguetexto	att					CLS	
COMMAND	TURTLE	apareçatat	at			st			
COMMAND	PROG	aprenda	ap			to		10 ..... 	
FUNCTION	MATH	arctan		NUMERO	-90 TO 90	arctan		ATN	
COMMAND	FILE	arquivos				dir		FILES	
FUNCTION	MATH	arredonde		NUMERO	NUMERO	round			
FUNCTION	TEXT	ascii		CARACTER	NUMERO	ascii		ASC	
COMMAND	TURTLE	atençãotat	atat	NUMEROTARTARUGA | LISTANUMEROTARTARUGA		tell			
COMMAND	VARIABLE	atribua	atr	NOME OBJETO				LET	
COMMAND	SCREEN	aumentelimite	al						tirelimite
COMMAND	TURTLE	cada		LISTAINSTRUÇÕES		each			
FUNCTION	TEXT	caractere	car	NUMERO	CARACTER	char		CHR$	
FUNCTION	INPUT	car.entrada	care		CARACTER	rc		INPUT$	
COMMAND	SPRITE	carimbe				stamp			
COMMAND	SPRITE	carimbetudo				shade		PAINT	
COMMAND	FILE	carregue		NOMEARQUIVO		load		LOAD	
COMMAND	FILE	carreguec		NOMEARQUIVO		cload		CLOAD	
COMMAND	FILE	carreguedes		NOMEARQUIVO		loadpic		BLOAD ... , S	
COMMAND	VARIABLE	coloque	col	OBJETO NOME					See atribua
COMMAND	VARIABLE	coloqueprop		NOME OBJETO					
COMMAND	PRINTER	comimpressora				printer		LPRINT ?	
COMMAND	TURTLE	congele				freeze			See descongele, mudevel
FUNCTION	TEXT	conteúdo		NOME	...				
FUNCTION	TURTLE	coorx			NUMBER	xcor			
FUNCTION	TURTLE	coory			NUMBER	ycor			
COMMAND	SPRITE	copiafig		NUMEROFIGURA NUMERONOVAFIGURA		copysh			
COMMAND	PROG	copie		NOME NOVONOME					
FUNCTION	TURTLE	cordebaixo	cb		NUMBER	color.over	colour.over		
FUNCTION	GRAPHIC	cordefundo	cf		NUMBER	bg			
FUNCTION	TURTLE	cordolápis	cl		NUMBER				
FUNCTION	TURTLE	cortat			NUMBER	color	colour		
FUNCTION	MATH	cos		NUMERO	NUMERO	cos		COS	
COMMAND	SPRITE	criafigl		NUMEROFIGURA FIGURALISTA					
FUNCTION	TEXT	cursor			[X Y]	cursor			
COMMAND	PROG	defina		NOME LISTA		define			
COMMAND	TURTLE	desapareçatat	dt			ht			
COMMAND	TURTLE	descongele				thaw			
FUNCTION	MATH	diferença		NUMERO1 NUMERO2	NUMERO	diff		NUM1 - NUM2	
FUNCTION	TURTLE	direção	dç		NUMBER				
FUNCTION	TURTLE	direçãopara		[X Y]	NUMBER				
